Date,<OPEN>,High,Low,Close,Volum
20200513,19909,20555,18914,19234,440618370
20200512,20956,19909,19909,19909,69861038
20200511,20092,21096,20100,20956,634870783
20200510,19136,20092,20092,20092,99346273
20200509,18227,19138,18977,19136,113330048
20200506,17681,18565,16820,18227,349214951
20200505,17252,18114,16701,17681,472270077
20200504,16459,17281,15637,17252,388427514
20200503,14937,16467,15683,16459,136042107
20200428,14235,14946,14734,14937,46432426
20200427,13564,14242,13600,14235,270377702
20200426,12919,13564,13500,13564,255273596
20200425,12304,12919,12919,12919,33342420
20200422,11786,12375,11800,12304,345448880
20200421,11226,11787,11551,11786,369185657
20200420,10732,11268,10550,11226,295590437
20200419,10283,10797,10283,10732,292985635
20200418,9794,10283,10238,10283,142377245
20200415,9348,9815,9410,9794,201457026
20200414,9537,9551,9100,9348,105551315
20200413,9617,9747,9376,9537,99685848
20200412,9500,9710,9413,9617,139842742
20200411,9573,9694,9311,9500,87710288
20200408,9681,9888,9356,9573,143157654
20200407,9553,9849,9502,9681,95695874
20200406,10012,9859,9512,9553,124869408
20200405,10201,10330,9893,10012,153061068
20200404,9741,10228,9871,10201,194474665
20200330,9806,9950,9380,9741,112822114
20200329,9422,9893,9508,9806,251384155
20200328,8974,9422,9350,9422,165230289
20200325,8553,8980,8725,8974,205902673
20200324,8177,8585,8200,8553,189655706
20200318,7858,8250,7858,8177,209125494
20200317,8178,8100,7770,7858,96337658
20200316,7924,8726,7990,8178,121554493
20200314,8304,8248,7889,7924,73351664
20200311,8066,8400,8120,8304,82930229
20200310,7903,8199,7954,8066,87238638
20200309,8252,8252,7840,7903,184314168
20200307,8158,8450,7911,8252,86509851
20200304,7823,8214,7827,8158,276054974
20200303,7603,7960,7610,7823,127945696
20200302,7490,7707,7534,7603,75460761
20200301,7417,7590,7300,7490,64431036
20200229,7801,7587,7411,7417,115094428
20200226,7988,8130,7621,7863,64549760
20200225,7675,8058,7655,7988,165945105
20200224,7690,7898,7580,7675,85997239
20200223,7486,7833,7525,7690,84909784
20200222,7783,7714,7394,7486,87762116
20200219,7637,7933,7630,7783,61040074
20200218,7765,7765,7430,7637,38948921
20200217,7672,7955,7622,7765,57020095
20200216,7725,7799,7600,7672,100142358
20200215,7987,8000,7610,7725,40931162
20200212,7703,8088,7700,7987,67972372
20200210,7907,7999,7512,7703,85868032
20200209,8087,8040,7800,7907,77021606
20200208,7975,8290,7830,8087,114916175
20200205,7635,8016,7700,7975,145168075
20200204,7296,7660,7400,7635,220766884
20200203,7140,7430,7165,7296,124664197
20200202,7234,7280,7049,7140,58310053
20200201,7199,7418,7120,7234,66576675
20200128,7028,7309,7044,7199,84271715
20200127,6965,7145,6800,7028,100045025
20200126,7017,7128,6800,6965,92946252
20200125,7095,7145,6950,7017,104594135
20200122,7070,7360,6935,7095,73620332
20200121,7125,7260,6800,7070,67764494
20200120,6869,7212,6850,7125,188746529
20200119,6860,6998,6660,6869,95105417
20200118,6618,6948,6659,6860,149178001
